Stock,52 Week High,Date of High,52 Week Low,Date of Low,Current Close,Difference (High - Close),Status
LTIM.NS,6574.95,2024-09-19,4473.643,2024-06-04,6231.0,-343.95,Wait
SKFINDIA.NS,7201.841,2024-06-18,3943.375,2024-03-13,5426.95,-1774.891,Wait
GAEL.NS,210.067,2024-02-02,123.3,2024-09-23,126.12,-83.947,Wait
GSFC.NS,316.695,2024-01-23,163.335,2023-10-09,217.67,-99.025,Wait
BAJFINANCE.NS,8151.081,2023-10-06,6156.892,2024-03-06,7762.15,-388.931,Wait
JBMA.NS,2426.453,2024-02-19,1112.48,2023-10-26,1804.05,-622.403,Wait
VARROC.NS,716.9,2024-06-14,433.0,2024-03-14,570.9,-146.0,Wait
CENTRALBK.NS,76.9,2024-02-07,40.85,2023-10-26,58.82,-18.08,Wait
SBILIFE.NS,1936.0,2024-09-03,1262.083,2023-10-04,1879.1,-56.9,Wait
LICI.NS,1222.0,2024-08-01,591.84,2023-10-26,1009.5,-212.5,Wait
RBLBANK.NS,298.741,2024-01-11,203.11,2024-09-26,206.29,-92.451,Wait
MANAPPURAM.NS,229.329,2024-07-19,122.699,2023-10-26,201.39,-27.939,Wait
CAPLIPOINT.NS,2156.017,2024-09-05,950.926,2023-10-26,1906.05,-249.967,Wait
TATAMOTORS.NS,1179.0,2024-07-30,606.429,2023-10-04,982.35,-196.65,Wait
MAXHEALTH.NS,1118.0,2024-09-24,537.72,2023-10-26,971.0,-147.0,Wait
ALKEM.NS,6439.9,2024-09-13,3421.271,2023-10-05,6170.85,-269.05,Wait
DIXON.NS,14498.0,2024-09-24,5026.203,2023-10-09,13781.05,-716.95,Wait
CRISIL.NS,5220.836,2024-03-26,3627.582,2024-01-25,4625.35,-595.486,Wait
ERIS.NS,1522.05,2024-09-06,804.0,2023-10-26,1295.65,-226.4,Wait
VGUARD.NS,577.45,2024-08-14,280.158,2023-10-09,440.35,-137.1,Wait
MARICO.NS,713.5,2024-09-27,486.3,2024-03-19,697.9,-15.6,Wait
FINPIPE.NS,353.045,2024-06-07,184.31,2023-10-26,275.05,-77.995,Wait
AWL.NS,410.5,2023-12-06,285.8,2023-11-20,341.4,-69.1,Wait
BHARATFORG.NS,1797.478,2024-06-21,996.197,2023-10-30,1522.0,-275.478,Wait
ESCORTS.NS,4420.0,2024-09-27,2636.789,2024-02-09,4264.8,-155.2,Wait
BEML.NS,5466.408,2024-07-05,1894.502,2023-10-26,3671.6,-1794.808,Wait
MTARTECH.NS,2783.85,2023-10-23,1600.0,2024-06-04,1720.0,-1063.85,Wait
NUVOCO.NS,398.0,2023-12-27,291.3,2024-03-13,354.6,-43.4,Wait
SHREECEM.NS,30622.646,2024-02-01,23653.312,2024-06-04,26163.949,-4458.696,Wait
MFSL.NS,1212.85,2024-09-27,854.25,2024-01-31,1187.0,-25.85,Wait
AUROPHARMA.NS,1592.0,2024-09-13,830.965,2023-11-01,1503.4,-88.6,Wait
JSL.NS,845.696,2024-07-09,425.989,2023-11-01,786.5,-59.196,Wait
SUNDRMFAST.NS,1505.95,2024-07-18,999.539,2024-03-15,1388.0,-117.95,Wait
